Row.names	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	y
Br1197	-139.264102015674	-97.7584108408737	-3.23520309587381	10.0704669071335	-0.828517168328775	18.858824848128	-7.67970201022028	14.9571547241741	0
Br1413	-190.860180985946	-102.847711387533	-4.0940164905286	1.05134771565343	-19.5615520573811	8.42281881797405	6.15043385748324	-9.67809151870079	0
Br1601	-130.075290260884	-87.6137211649462	3.23501706130405	-36.575234867782	33.018756300346	12.8421831173854	10.8431588198018	10.3019389109196	0
Br1414	-153.923590006044	-91.1431273631447	9.43539294582004	8.57074326634306	18.4760266953168	16.3586177974295	2.65762537005322	12.4264526736508	0
Br1395	-75.4507068943429	-71.6186095973725	-25.2105984087098	-118.586176196941	88.5611886601873	-3.50929520685784	-12.7815759671923	26.2625133967039	0
Br871	-140.12013611458	-105.584104197785	19.6299292578256	47.2768385260915	9.17105486478487	39.7579184324862	-2.7294849570564	28.7705285470259	0
Br1562	-163.728399841762	-96.8925393720857	21.3190166775416	36.1871335583133	2.26505632261378	33.5922476544455	7.26612499697041	31.0821328960983	0
Br1677	-68.6042329480084	-76.2289769030181	-1.58137710153801	-22.7681444507329	20.9151827778318	16.9515969704765	4.54869478533979	10.5056782475272	0
Br1734	-131.890640576776	-89.4076819080901	20.0889843382111	40.6887509738009	7.81460751981381	22.5945419191111	4.54441243595268	6.92888506114652	0
Br1309	-230.327561137434	-67.7683567661	14.5488090890907	44.6552478519839	-37.5979934512752	-8.30442278618039	5.78735575612085	-8.62449844562164	0
Br1470	-202.130428770471	-69.4005306919486	19.7967183270561	60.8040877364685	-27.8876527060279	2.68256598018298	3.70325556924017	1.33483065546219	0
Br1437	-117.069797654019	-76.6814105018364	10.0814793085306	-20.141169288753	32.9220939697513	16.6697913639018	10.1485970436583	12.067109573649	0
Br1404	-157.777654318974	-94.8222318519122	21.5123308263731	30.3206572699493	12.762615685869	27.9730171403532	4.5211655803292	27.5204309377933	0
Br1430	-48.368871579586	-75.0661382914327	4.78630858868117	-10.9463379674008	15.5874649307025	29.157465126317	8.28446506266327	25.3997283149166	0
Br1651	-149.968092651418	-86.1438083973868	26.3688833526918	55.7996532072938	-2.51938737011724	28.43522181192	7.85215248994721	14.3700590430399	0
Br1163	-187.86679598605	-89.320603953933	13.3836117183103	-26.0327377103522	49.3580050707703	5.14605911850839	16.6561849796948	-9.35711749544031	0
Br1423	-144.072904154775	-86.8405375547835	12.9517941516896	-28.8710120813583	41.0853679385782	18.0870223022536	14.5553306766187	20.3222809806673	0
Br1896	-142.405995667713	-85.8758689274481	15.0529795307852	14.270531984497	15.505837763902	29.2333071284849	7.41872362848705	30.4935184539036	0
Br1901	-114.573362884775	-83.7432323893399	12.125692548848	2.5091889700898	32.113169070387	29.3011180199437	4.32862339828497	36.9530051745782	0
Br1821	-121.517699979414	-74.7628583483086	19.1170552953624	15.2744161001587	20.1476901850148	13.5473068670986	7.34625064322323	5.60564533844177	0
Br1823	-106.919397436636	-75.5851781325382	6.87500907770461	-4.66080810565855	15.5158223798903	24.3496060851982	7.52215245443255	29.4847453164328	0
Br1838	-157.201388063618	-93.0635125155451	20.3017140698693	5.08518683791656	36.0686730276172	21.7570396529324	8.78365567743072	11.5605157867524	0
Br931	-24.3593647718206	-65.2093754238552	-3.81299909453503	-36.2661453879309	27.6561146720423	16.9033519164187	4.0633250332478	14.0193466260529	0
Br1724	-153.373222646414	-75.6402865691205	13.8195987102277	43.7516771790575	-12.5973101914603	5.60454367428037	2.96095555286309	-5.37377177333643	0
Br1415	-75.8876764563343	-74.2955214443627	0.254049939491996	-18.5672605192391	16.9380323269528	21.2870102934801	9.03659232564347	18.1679405552876	0
Br1630	-94.9044097603749	-76.3845702485148	3.5499181412148	0.879610761085391	10.8488367829021	21.5755040653919	3.43947367468065	21.7064485121106	0
Br1450	-269.319282075969	-71.5250502215659	1.35964109084921	-63.5272682334097	32.0177547064592	-62.0740007691748	26.8981234606044	-110.172996578885	0
Br1554	-157.028423244935	-75.8269867352913	1.49381516252879	-30.7701138605044	25.6994187906303	3.40245324875843	5.42924902313371	26.3614185580166	0
Br2189	-205.245535090347	-112.384367088096	-6.03021581359433	21.8350993858122	-49.8059560522441	23.7598324169558	3.91426606389336	13.5570583616093	0
Br2198	-196.419274094915	-111.274804941097	15.3948549343866	34.8011650081449	-15.3572849225391	41.5816026167334	10.6207746916808	42.6070123400676	0
Br2203	-133.081767328764	-83.0428831237425	8.26441649452815	-21.8027389531059	29.2255311181293	5.83176429192825	9.64357178391592	-0.812322121271682	0
Br2208	-224.148933346931	-88.2356651894556	14.8854469219001	46.5120928849498	-21.9769796241391	9.17370074274876	3.37719273294056	1.69161528278132	0
Br2109	-254.905608698966	-82.2606075029456	9.68517624852299	-3.63129095792552	-4.98287605928679	-25.5543274758135	16.3759045206016	-50.4043765640421	0
Br2222	-56.8024070838081	-61.1153482637472	-14.8127127350454	-69.3087147388694	30.8747594558354	1.48672754182596	1.6322484548114	20.8279135590628	0
Br2232	-220.036743902132	-77.5572970815018	19.0479927293661	56.2690623742717	-19.6887257806785	3.43222543893116	3.69866754347138	-6.07292618150258	0
Br2235	-229.949561194463	-74.1891706397086	21.1425700983599	4.54468140543283	16.6400855896675	-26.4254352099616	15.8653771149413	-56.2510906228252	0
Br2237	-196.075429506566	-81.231477045497	14.7142153285275	32.2935569346936	-7.79617325338334	8.22852777606063	4.2085582634011	0.469356444578378	0
