subj.id PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17
sub-1045 -7.8993 -17.109 -2.0832 -8.2592 -91.2173 17.2479 22.5761 -60.0626 -16.0498 -9.5044 -27.0244 -43.3628 12.3775 20.4168 -23.8594 8.5436 -5.6928
sub-1047 66.6885 -28.3595 35.8187 64.8247 23.6964 11.6511 1.3698 24.0478 -33.7996 -24.6915 -45.8779 -1.9696 24.2265 0.9597 32.7475 -27.639 20.5825
sub-1048 83.7945 14.4482 -37.0213 -13.8395 46.7894 -44.0734 12.4483 -19.5251 3.0865 -18.3316 11.3038 -17.1197 27.6238 -16.7646 4.4903 -0.3007 -75.4983
sub-1050 86.0318 31.0205 15.4508 -12.0432 58.1596 13.2439 34.1746 37.1639 -9.2721 2.7237 29.8184 29.5054 21.5641 -29.7405 37.5999 -11.0481 0.6184
sub-1051 111.4038 56.3529 7.2051 -33.9806 -44.0134 41.1698 58.2998 -32.5747 60.5907 -20.5835 21.6652 17.9901 13.4607 15.1247 -25.4874 40.9701 56.548
sub-1052 87.6479 8.6209 -27.1908 11.3777 -19.9101 -66.7699 45.3369 -11.1183 -7.3802 12.2879 37.5635 1.2025 -15.79 -14.1934 -56.6198 -45.3942 -17.9248
sub-1054 2.6961 -70.161 15.9547 -22.4972 -9.38 -6.1481 18.2996 -3.4715 8.7206 -17.6882 39.5492 50.0642 8.8346 -14.534 -39.8189 -9.6735 1.567
sub-1056 33.3454 -26.1197 -8.6995 -49.2291 -5.46 -1.9917 17.7062 13.4708 -5.0968 -10.169 33.4438 -18.6345 -28.5358 0.4232 -39.4796 -13.6924 -47.656
sub-1057 12.843 -61.339 4.583 -13.2937 1.9635 -39.8051 10.4813 6.3984 20.1959 -29.8329 10.6134 18.0042 14.6015 -8.7882 -14.1746 -14.7356 9.9396
sub-1060 -126.0199 70.7866 25.7219 47.9338 22.3858 -26.6848 14.4139 4.6699 -8.5649 -36.1099 4.2358 42.3678 -22.5372 -0.9729 -23.7641 36.4085 -20.1969
sub-1061 70.0931 -7.4608 39.026 10.4279 15.9957 -6.924 65.6628 -15.8863 -30.5668 -38.9676 -51.6775 27.619 -9.8052 -33.0148 24.7089 -29.95 42.6625
sub-1064 8.0034 4.9392 -37.9461 -36.4499 -12.129 -52.9005 11.5698 15.3024 17.4819 23.4426 -8.7632 -10.1733 -21.2312 -6.2675 -7.963 -14.6685 21.4099
sub-1066 113.2387 27.7662 -13.5209 58.0216 -66.4842 -0.3994 1.6014 -76.9893 14.9446 36.0431 -30.4383 5.9717 -42.9872 31.1264 42.4282 86.8613 56.0178
sub-1067 -143.9746 -11.5193 -71.2764 -0.0735 49.9439 -60.7513 -51.6065 -34.3233 -10.0703 94.9213 0.9266 -66.1233 -32.6199 38.0145 9.5311 -48.6984 9.5411
sub-1068 34.6857 -17.1999 -37.2567 -25.5823 -21.9193 11.013 -13.4275 40.0189 -6.2833 -34.3262 -11.5233 -9.2016 32.0814 52.9694 30.5536 -0.5186 45
sub-1070 40.9998 -30.9457 -2.6821 -4.7246 2.2339 25.7668 10.9853 15.7805 -67.7197 -53.8754 -1.6104 -38.7352 -21.9582 42.8301 8.6304 -5.1304 -75.4192
sub-1071 -42.5775 -82.4915 2.2098 2.2525 -24.1737 47.8354 20.4766 5.1107 -21.3343 -7.1514 -3.5663 22.7506 1.7355 7.5029 -21.6811 15.6914 -30.0835
