subj.id PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17
sub-4029 -44.7704 -67.3917 56.5748 -2.855 14.0294 32.3953 7.4026 -8.9557 37.342 -8.2776 3.3099 -2.5434 5.5221 -16.9852 0.24 11.1736 3.3612
sub-4030 -26.8878 -47.3169 37.0544 0.2149 32.0864 34.6037 7.0366 17.6694 39.0147 11.994 -61.4185 -39.0958 -29.3423 -51.13 -4.8284 -58.8363 -6.0855
sub-4035 0.2002 -68.073 43.3316 -5.2832 -11.6385 6.4631 1.055 -8.5347 21.491 -26.5859 5.5175 15.1874 24.2614 5.3608 -6.9448 2.6281 -22.2867
sub-4037 44.8213 -18.489 -0.6871 3.1894 15.8357 -24.6209 -29.4546 -12.4095 35.4578 -36.1343 -30.6441 7.9601 -53.0084 -1.7207 -14.7607 -13.4976 20.6503
sub-4038 -55.9503 -59.842 37.5708 1.7414 -16.2307 -13.9574 -22.6741 4.7564 27.1299 -6.4022 24.6241 -9.8144 -4.987 -2.306 3.5122 -26.9392 -10.4161
sub-4047 -103.407 -42.5705 16.3796 -36.8681 66.1945 -1.0503 -2.3048 -4.872 -29.1481 32.7553 -28.6216 -18.9291 1.8001 39.561 10.7731 8.9953 41.34
sub-4048 -13.6874 -45.2591 -12.3193 -20.2239 -5.0914 23.2475 17.1428 12.3042 20.0798 -2.2808 33.8527 -10.6715 -13.9891 -6.9805 -3.8863 -0.5831 -21.2948
sub-4049 70.8677 21.0656 -10.2267 -2.9388 26.4624 21.2142 13.6166 25.3878 3.6571 -35.8506 31.8007 -1.9983 63.059 26.3366 21.0279 -6.8472 -20.7081
sub-4050 -50.6027 77.9207 60.3814 -46.628 -18.0276 -116.203 -25.6276 7.2729 -90.1603 -4.272 -54.907 -37.9885 10.3179 18.7432 -42.0878 -36.2853 -50.2811
sub-4053 -25.5167 -9.6191 -15.1916 -84.1142 20.7681 -12.0292 -10.1752 5.0454 12.6535 -8.2423 5.905 22.0311 57.3617 -5.051 -28.5318 -31.0149 -40.0476
sub-4057 -66.4584 15.3894 74.263 -15.5865 -25.4675 10.6585 8.0846 -36.4405 41.7989 83.2671 -52.3652 29.0304 -43.3241 19.9205 -31.4979 -6.0017 -28.3661
sub-4059 -10.3678 97.8905 -24.0223 0.8345 83.1175 108.4065 -101.1951 -1.7279 -28.897 -25.5991 12.4597 31.4945 54.5692 -44.9414 -64.1844 -15.5807 28.362
sub-4063 51.5993 13.5364 -21.5667 10.1315 -32.481 -50.9491 27.3413 -2.1914 -84.9657 42.8604 18.1391 12.3837 73.4861 21.4628 -45.1991 -36.8918 -19.4524
sub-4064 -6.2308 -16.0593 27.4621 -26.2417 -14.7053 11.241 -32.4654 -32.6959 22.3798 -44.2158 22.2339 -44.7986 -2.3415 27.5911 -29.9161 -2.2403 -50.2518
sub-4069 -2.4272 2.3311 60.0764 -27.2957 42.0683 -4.8516 -28.9143 10.617 92.1463 -1.1294 30.5239 -26.3302 8.7286 -16.477 -31.7766 22.4444 5.9474
sub-4072 -29.1395 -63.8325 -22.5716 -10.2713 5.9124 0.8835 -18.0665 -49.5868 19.7102 -19.9588 43.7845 -39.4649 6.7133 7.7129 25.4007 -6.877 -7.4134
sub-4074 21.6391 -15.2022 12.3828 17.9384 9.9168 42.5313 0.2048 26.0043 -44.1349 8.255 48.1804 -35.1294 1.1684 -7.9941 33.8625 20.1436 1.6093
sub-4075 48.6515 -13.9819 -43.1067 -6.2474 11.0258 -2.9507 -27.7284 -12.2158 22.4485 -15.025 15.3666 12.5831 -11.112 3.9049 -7.7677 41.593 0.1772
sub-4088 52.0894 -33.1087 16.1973 22.3622 -26.4721 -12.7058 17.0861 11.9594 82.231 -38.1552 -17.601 4.7948 22.7787 21.3569 6.2439 -21.6051 33.8105
sub-4091 -54.845 91.851 2.3805 -116.4603 -59.4392 41.2956 -57.6558 -39.8554 -53.8811 -16.0457 -24.2032 -10.7617 8.5437 -11.2764 -33.9324 12.2116 12.321
